City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Atuona,-9.8,-139.0333,77.27,73,12,13.15,PF,2022-08-03 01:21:27
1,Punta Arenas,-53.15,-70.9167,33.91,100,20,2.3,CL,2022-08-03 01:19:19
2,Avarua,-21.2078,-159.775,77.05,53,100,10.36,CK,2022-08-03 01:21:27
3,Tasiilaq,65.6145,-37.6368,42.96,60,16,2.57,GL,2022-08-03 01:21:28
4,Tiznit,29.5833,-9.5,88.56,21,23,2.64,MA,2022-08-03 01:21:28
5,Hithadhoo,-0.6,73.0833,80.35,76,100,11.88,MV,2022-08-03 01:21:16
6,Bengkulu,-3.8004,102.2655,76.15,88,100,3.62,ID,2022-08-03 01:21:29
7,Barrow,71.2906,-156.7887,48.22,71,0,13.8,US,2022-08-03 01:21:29
8,Zvornik,44.3869,19.1014,59.65,68,47,3.56,BA,2022-08-03 01:21:29
9,Hermanus,-34.4187,19.2345,48.79,84,8,2.51,ZA,2022-08-03 01:21:30
10,Kapaa,22.0752,-159.319,85.98,80,100,23.02,US,2022-08-03 01:21:30
11,Pevek,69.7008,170.3133,39.56,100,100,3.69,RU,2022-08-03 01:21:30
12,Ostrovnoy,68.0531,39.5131,54.07,96,100,5.17,RU,2022-08-03 01:21:31
13,New Norfolk,-42.7826,147.0587,58.91,82,83,5.99,AU,2022-08-03 01:21:31
14,Rawson,-43.3002,-65.1023,43.68,60,0,8.03,AR,2022-08-03 01:21:31
15,Lahij,13.1667,44.5833,84.81,51,29,1.43,YE,2022-08-03 01:21:32
16,Nyuksenitsa,60.4128,44.2397,57.25,85,100,4.7,RU,2022-08-03 01:21:32
17,Rikitea,-23.1203,-134.9692,72.34,73,40,20.58,PF,2022-08-03 01:18:29
18,Trinidad,-14.8333,-64.9,79.77,54,97,3.42,BO,2022-08-03 01:21:32
19,Ginda,30.6945,78.4932,66.47,93,78,1.16,IN,2022-08-03 01:21:33
20,Cabra,37.4725,-4.4421,76.64,38,0,3.33,ES,2022-08-03 01:21:33
21,Ushuaia,-54.8,-68.3,35.26,93,100,0.0,AR,2022-08-03 01:18:33
22,Albany,42.6001,-73.9662,75.61,65,0,4.0,US,2022-08-03 01:21:34
23,Cherskiy,68.75,161.3,49.73,93,100,8.66,RU,2022-08-03 01:21:34
24,Menzelinsk,55.7271,53.1026,57.56,92,0,5.66,RU,2022-08-03 01:21:34
25,Adrar,20.5022,-10.0711,91.45,36,8,17.22,MR,2022-08-03 01:21:35
26,Wonthaggi,-38.6044,145.5913,59.83,68,10,23.22,AU,2022-08-03 01:21:35
27,Ligayan,4.6533,119.4706,83.82,71,86,6.13,PH,2022-08-03 01:21:35
28,Kjopsvik,68.097,16.3742,51.67,87,63,5.14,NO,2022-08-03 01:21:36
29,Santa Maria,-29.6842,-53.8069,62.28,90,99,5.37,BR,2022-08-03 01:19:34
30,Thompson,55.7435,-97.8558,57.36,94,75,3.44,CA,2022-08-03 01:21:36
31,Itarema,-2.9248,-39.9167,78.01,83,10,11.72,BR,2022-08-03 01:21:37
32,Salalah,17.0151,54.0924,75.29,100,100,4.61,OM,2022-08-03 01:20:15
33,Inirida,3.8653,-67.9239,71.37,98,91,1.68,CO,2022-08-03 01:17:08
34,Almaznyy,48.0448,40.045,65.53,87,0,4.68,RU,2022-08-03 01:21:37
35,Hobart,-42.8794,147.3294,59.25,63,40,14.97,AU,2022-08-03 01:18:39
36,Carnarvon,-24.8667,113.6333,68.58,58,56,19.39,AU,2022-08-03 01:21:38
37,Torbay,47.6666,-52.7314,66.58,79,40,11.5,CA,2022-08-03 01:21:38
38,Lebu,-37.6167,-73.65,46.98,81,1,15.59,CL,2022-08-03 01:21:38
39,Qaanaaq,77.484,-69.3632,45.16,61,19,2.17,GL,2022-08-03 01:18:50
40,Honiara,-9.4333,159.95,89.6,57,84,11.45,SB,2022-08-03 01:21:39
41,Zeya,53.75,127.2667,74.68,63,13,3.11,RU,2022-08-03 01:21:39
42,Manakara,-22.1333,48.0167,66.42,85,99,6.08,MG,2022-08-03 01:21:39
43,Timbo,-26.8233,-49.2717,64.9,100,39,1.45,BR,2022-08-03 01:22:40
44,Luderitz,-26.6481,15.1594,53.51,80,0,4.85,NA,2022-08-03 01:22:40
45,Te Anau,-45.4167,167.7167,48.7,78,76,8.84,NZ,2022-08-03 01:20:31
46,Morgaushi,55.9643,46.7743,59.16,87,30,3.65,RU,2022-08-03 01:22:41
47,Sinnamary,5.3833,-52.95,78.35,87,100,9.24,GF,2022-08-03 01:22:41
48,Takoradi,4.8845,-1.7554,72.18,80,3,7.45,GH,2022-08-03 01:22:42
49,Cabo San Lucas,22.8909,-109.9124,89.91,51,0,10.36,MX,2022-08-03 01:22:42
50,Kangaatsiaq,68.3065,-53.4641,42.21,94,100,12.95,GL,2022-08-03 01:22:42
51,Bluff,-46.6,168.3333,44.8,74,42,29.21,NZ,2022-08-03 01:22:43
